State,Division
Bills,AFC East
Patriots,AFC East
Dolphins,AFC East
Jets,AFC East
Bengals,AFC North
Steelers,AFC North
Browns,AFC North
Ravens,AFC North
Titans,AFC South
Colts,AFC South
Texans,AFC South
Jaguars,AFC South
Chiefs,AFC West
Raiders,AFC West
Chargers,AFC West
Broncos,AFC West
Cowboys,NFC East
Eagles,NFC East
Washington,NFC East
Giants,NFC East
Packers,NFC North
Vikings,NFC North
Bears,NFC North
Lions,NFC North
Buccaneers,NFC South
Saints,NFC South
Falcons,NFC South
Panthers,NFC South
Rams,NFC West
Cardinals,NFC West
49ers,NFC West
Seahawks,NFC West
